Name,Rank,fblink,twitterlink,fbname,fbid,date,Students,Academic staff,Administrative staff,Type,Website,fblikes,fbfollows
Princeton University,1.0,PrincetonU,Princeton,Princeton University,18058830773.0,2020-04-22 17:10,8374.0,1289.0,1103.0,Private,princeton.edu,584697.0,588190.0
Harvard University,2.0,Harvard,Harvard,Harvard University,105930651606.0,2020-04-22 17:11,20739.0,2400.0,,Private,harvard.edu,5568131.0,5600102.0
Yale University,3.0,YaleUniversity,Yale,Yale University,374809010319.0,2020-04-22 17:12,13609.0,4410.0,,Private,yale.edu,1347002.0,1348910.0
Columbia University,4.0,columbia,Columbia,Columbia University in the City of New York,102471088936.0,2020-04-22 17:13,33413.0,4370.0,,Private,columbia.edu,399086.0,408974.0
Stanford University,4.0,stanford,Stanford,Stanford University,6192688417.0,2020-04-22 17:14,17249.0,2240.0,12508.0,Private,www.stanford.edu,1338992.0,1356396.0
University of Chicago,4.0,uchicago,UChicago,The University of Chicago,192609620649.0,2020-04-22 17:15,16445.0,2859.0,15949.0,Private,www.uchicago.edu,253404.0,257605.0
Massachusetts Institute of Technology,7.0,MITnews,MIT,Massachusetts Institute of Technology (MIT),126533127390327.0,2020-04-22 17:16,11520.0,1074.0,,Private,web.mit.edu,1250340.0,1281121.0
Duke University,8.0,DukeUniv,DukeU,Duke University,21489041474.0,2020-04-22 17:17,15892.0,3774.0,8880.0,Private,www.duke.edu,359713.0,357499.0
University of Pennsylvania,9.0,UnivPennsylvania,Penn,University of Pennsylvania,98508878775.0,2020-04-22 17:18,22432.0,4793.0,,Private,upenn.edu,220223.0,230511.0
California Institute of Technology,10.0,californiainstituteoftechnology,Caltech,California Institute of Technology - Caltech,6391532964.0,2020-04-22 17:19,2233.0,300.0,,Private,www.caltech.edu,376151.0,379694.0
Johns Hopkins University,10.0,johnshopkinsuniversity,JohnsHopkins,Johns Hopkins University,20835777216.0,2020-04-22 17:20,26402.0,,,Private,www.jhu.edu,232530.0,240644.0
Dartmouth College,12.0,Dartmouth,dartmouth,Dartmouth,1.01538850933411e+16,2020-04-22 17:21,6608.0,943.0,2938.0,Private,dartmouth.edu,97322.0,98916.0
Northwestern University,12.0,NorthwesternU,NorthwesternU,Northwestern University,228401243342.0,2020-04-22 17:22,21208.0,3401.0,,Private,northwestern.edu,152244.0,156446.0
Brown University,14.0,BrownUniversity,BrownUniversity,Brown University,140998521533.0,2020-04-22 17:23,10333.0,816.0,,Private,brown.edu,253043.0,255236.0
Cornell University,15.0,Cornell,Cornell,Cornell University,8570160131.0,2020-04-22 17:24,24027.0,1639.0,,Private,cornell.edu,396809.0,398554.0
Vanderbilt University,15.0,vanderbilt,VanderbiltU,Vanderbilt University,61441666906.0,2020-04-22 17:25,13131.0,1816.0,,Private,www.vanderbilt.edu,118925.0,119945.0
Washington University in St. Louis,15.0,wustl,WUSTL,Washington University in St. Louis,93768131177.0,2020-04-22 17:25,15045.0,3819.0,12609.0,Private,wustl.edu,74691.0,77564.0
Rice University,18.0,RiceUniversity,RiceUniversity,Rice University,28331765549.0,2020-04-22 17:25,7124.0,680.0,2152.0,Private,www.rice.edu,56428.0,59347.0
University of Notre Dame,18.0,notredame,NotreDame,University of Notre Dame,113174253097.0,2020-04-22 17:25,12292.0,1309.0,,Private,www.nd.edu,189795.0,191626.0
University of California - Berkeley,20.0,UCBerkeley,UCBerkeley,UC Berkeley,10111634660.0,2020-04-22 17:25,43204.0,,,Public,www.berkeley.edu,478665.0,482110.0
